username,date,score,version,text
"Jessica Novinda","2023-04-13T08:38:57.679Z",5,"6.55.0","Halo admin, saya pengguna brain academy online kurang lebih 2 tahun. Dari semua fitur dan fasilitas yang ada sangat membantu, namun saya ingin bertanya. Akhir-akhir ini kenapa ya laman brain academy online di aplikasi tidak bisa di buka di hp? Selalu keluar lagi dari aplikasi, mohon solusi nyaa, terima kasih."
"Gwen Baby Christsanto","2023-04-13T07:53:36.454Z",1,"6.28.2","kalo sudah tidak berlangganan jangan spam plis"
"Rida Aulia Febriani","2023-04-13T06:16:22.205Z",5,"6.49.0","Mantap"
"Fadila Nurulhano","2023-04-13T04:32:20.398Z",5,"6.55.0","bagus aku dpt rangking 3 di kelas karena ini makasi ruangguru"
"Sara Sahrani","2023-04-13T02:39:15.771Z",5,null,"sangat membantuu prosesss pembelajarann siswaaa🙌🙌"
"Annisa Humaira","2023-04-12T15:35:18.306Z",1,"6.39.0","Dapat call dari ruangguru berkali-kali tiap hari! kayak debt collector ah.. masa udah di tolak 3× tetap di telpon, itu maksudnya apa heh, saya belum pernah blokir orang, tapi semenjak berlangganan ruangguru, yah begitulah.. Tapi di blokir satu muncul seribu, Ga malu? Segitunya nyari uang"
"Secha Rani","2023-04-12T13:32:09.139Z",5,"6.56.0","keren"
"Jil Jacobus","2023-04-12T11:37:30.602Z",5,null,"Bagus"
"Naylah Zalfa","2023-04-12T09:34:50.620Z",5,"6.51.0","good"
"Nur Hasanah","2023-04-12T08:57:23.751Z",5,"6.55.0","Apk nya baguss dn master teachernya asik²"
"Carles Sipasulta","2023-04-12T08:31:23.418Z",3,null,"Ga pernah digunakan"
"jasmine","2023-04-12T08:03:21.456Z",2,"6.55.0","Suka error, habis buka buku hadiah pasti layar lgsg item. Trus gk bisa download materi padahal udh berapa kali refresh. Kadang gk dapet xp dari latihan . Tolong diperbaiki"
"Sheril Patricia","2023-04-12T07:49:58.819Z",5,null,"Bagus loh saya suka ini sangat membantu walaupun biasa nya ada sedikit masalah"
"Dera Apriasti fitriany","2023-04-12T02:57:32.678Z",4,null,"Miyin"
"Pakde Kechu","2023-04-11T17:11:10.568Z",5,null,"Okeh"
"TITIN WIJAYA YANTI","2023-04-11T16:21:19.650Z",5,"6.55.0","Ok"
"Maria Bakhtiar","2023-04-11T14:48:24.595Z",3,"6.55.0","Ka semenjak di upgrade, kmarin brain academy nya ga bs di buka k,, tiap di buka kluar lg - keluar lg, udh cb sy hapus aplikasi RG nya, trs download lg, tp masih tetep sm ky gtu, help ka.. sy kan harus live teaching tiap hr 🙏"
"Epi Fanius","2023-04-11T12:53:53.344Z",5,"6.55.0","Kendala saya kemarin sudah teratasi thanks for ruangguru"
"Maulana Zaki","2023-04-11T11:00:38.194Z",5,"6.55.0","SANGAT TERPERCAYA, BARU SAJA MELIHAT KESEMPATAN GRATIS UDH LANGSUNG PAHAM! APALAGI KALO UDH BERLANGGANAN! SERU BGTT POKOKNYA JANGAN RAGU DEHH!! 😻🤍"
"Sulikin Ryan","2023-04-11T06:02:56.908Z",5,"6.54.0","Cocok banget buat belajar apalagi bahasa inggris woooww"
"Juhron Wafa","2023-04-11T04:56:25.112Z",5,"6.55.0","semoga lulus UTBK aamiin🙂"
"Vanessa Aqilla Denanti","2023-04-11T03:17:22.911Z",5,null,"Bagus sekali saya dapat belajar dengan dafa dan lulu Terima kasih😆"
"Beby Alin","2023-04-11T01:11:34.980Z",5,"6.55.0","Sangat bagus sekali seru juga😊"
"Avisi Repalina","2023-04-10T23:41:01.725Z",5,"6.55.0","Mohon maaf"
"Meyta88 Meme","2023-04-10T16:35:21.405Z",3,"4.7.3","ruang guru makin kesini kok makin lemot ya? jaringan udah lancar, sampe coba di beda device tapi tetep aja cuma loading terus. bikin bm, padahal lagi seru serunya mengulas materi:( tolong segera diperbaiki ya"
"Fauzi","2023-04-10T13:24:08.683Z",1,null,"Iya sangat membantu pekerjaan rumah atau pr"
"Cinta Karisma","2023-04-10T11:51:54.175Z",5,"6.55.0","Waa aplikasi ini sangat lah membantu untuk saya semoga aja saya bisa lolos ujian akhir ini karena ruang guru amiin"
"mimi_ pacarhaechan","2023-04-10T10:05:44.592Z",5,null,"jadi ngerti loh belajar di sini"
"Nabilaa Putrii","2023-04-10T07:58:35.820Z",5,null,"mantapp yg pntng belajar"
"Handy Fadillah","2023-04-10T07:09:26.598Z",5,"6.55.0","Sangat bagus"
"Lucy Olivia Hongadi","2023-04-10T07:02:07.361Z",5,"6.55.0","Aplikasi nya bagus banyak yang saya pelajari di aplikasi ini"
"Pengguna Google","2023-04-10T04:40:24.712Z",5,"6.55.0","Seru banget, gak nyesel pake ruang guru, pelayanannya pun ramah banget! Terima kasih banyak Ruangguru, sukses selalu."
"sanii","2023-04-10T02:40:39.930Z",1,null,"klo bisa si ini ga gue kasi bintang, tapi berhubung gue udh kesel bgt dan pgn nulis ulasan, so.. buruk bgt parah, video nya kaga bisa diakses samsek padahal gue beli ini h- sebulan utbk dan 3 hari gue ngurusin ini ama para customer service nya ga ngaruh, malah minta maaf mulu (emg duitnya bisa balik klo lo minta maaf?). udh mana gue promosiin ke temen gue dan mereka juga error mulu server nya, bikin gue ga enakan tau ga? udh gue percaya malah kek bagong apk satu ini."
"Nazla Ceilo mafaza","2023-04-10T01:01:08.310Z",1,null,"sudah berlangganan video tidak bisa di play"
