username,date,score,version,text
"Roni Ucip","2022-12-01T13:35:09.349Z",5,"6.5.0","bagus ada cara cepat dan mudah dipahami"
"Adila Putri","2022-11-30T23:23:28.995Z",5,"6.5.0","bgs bngt sangar membantu"
"Shiapa Shaja","2022-11-30T22:54:50.235Z",1,"6.4.1","Lama updetnya"
"Meisy Arey","2022-11-30T20:52:21.570Z",5,"6.5.0","sangat membantu sebelum PTS"
"Maulani Aprillia","2022-11-30T16:16:24.114Z",3,"6.5.0","Maaf ya, untuk quipper di sini saya suka sama penjelasan terkait pelajaran hitungan seperti mtk, kimia, dan fisikanya. Kalau untuk materi seperti biologi, bahasa Indonesia, dll masih banyak belibetnya (berhubungan dengan tutor) dan banyak kata yang di ulang sehingga saya jadi kurang nyaman, karena hal ini berpengaruh dalam mudah atau tidaknya memahami materi itu. Lalu menurut saya matpel serta materi masih kurang lengkap. Tapi untuk tips supernya sangat membantu"
"Adjii Satriio","2022-11-30T11:42:15.238Z",1,"6.3.2","Ga mahokkk blasss"
"Muhammad Iqram","2022-11-29T15:06:35.221Z",3,"6.5.0","kurang animasi, pembelajaran agak beda dengan buku, dan informasi yang tidak lengkap"
"Yoel Martin","2022-11-28T23:25:36.384Z",5,"6.4.1","Bagus aplikasinya, bismillah gopay"
"Alif_ Firdaus","2022-11-27T22:09:17.458Z",5,"6.5.0","sangat mendidik"
"Almondmilk _","2022-11-27T12:37:53.390Z",1,null,"Materi ga lengkap,mapel juga kurang beragam,mohon ditingkatkan lagi pelayanannya menyesuaikan kurikulum merdeka juga🙏"
"Mifzal Adzam","2022-11-27T12:36:28.985Z",5,"6.4.1","Asli! nih aplikasi worth it banget buat para pelajar. Jadi, apabila di antara kita ingin memperdalam satu bidang, mungkin aplikasi quipper menjadi solusinya. Tak hanya itu, di aplikasi ini juga disediakan tes bakat minat, yang mana tes ini dapat mengetahui, bidang apa yang kita perdalamin nanti demi cita cita yg belum kita ketahui sebelumnya?"
"Irfan Maulana","2022-11-25T02:39:11.678Z",5,"6.1.8","bagus"
"Assyifa Syarifah","2022-11-24T05:30:01.939Z",5,"6.5.0","suka bgtt sama quipper, materi pengajaran nya mudah di mengerti dan pembahasan soal ny juga lengkap, the most useful application to practice the ability to answer questions correctly !!"
"Fadhil Ihsan Athallah","2022-11-22T03:04:55.791Z",1,null,"Banyak bugnya"
"Dwi Thaeyung","2022-11-21T10:24:50.434Z",5,"6.5.0","sangat membantu dalam belajar dan tidak membuat bosan"
"Vinz Design","2022-11-20T15:32:41.218Z",5,"6.5.0","Semoga saya bisa kuliah."
"Lia Eliandi","2022-11-20T14:08:39.693Z",3,"6.3.2","banyak yang beda pembelajaran nya ,dan banyak mata pelajaran yg tidak ad tpi bisa membantu jugak ,untuk saya bisa lebih pandai dan percaya diri😊"
"Alia Ardianti Humairo","2022-11-20T03:48:59.782Z",5,"6.5.0","terimakasih quipper, saya sangat terbantu dalam belajar"
"Nur Alfi Almadani","2022-11-19T14:10:16.820Z",5,"6.4.1","pokoknya best"
"Gratia Silitonga","2022-11-18T12:52:29.954Z",5,null,"Bagus kebangetan"
"Netty Ismayawati","2022-11-18T04:07:17.230Z",2,null,"Susah"
"SaN One","2022-11-17T13:20:05.817Z",1,"6.5.0","Akun saya tiba kedaluarsa"
"Bintang 01","2022-11-17T13:12:13.979Z",5,"6.4.1","keren"
"Intaaan","2022-11-17T00:17:15.510Z",2,null,"Cukup membantu cuman materi kurikulum merdeka nya ga diupdate' dan penyampaian materi nya sama kaya disekolah, membosankan dan panjang lebar, bikin ngantuk. Nanti tolong pakai animasi ajaa :) agak kecewa beli yg premium disini"
"Lufardo Arya Kurniawan","2022-11-16T12:42:44.280Z",3,"6.5.0","Dari video oke bagusnya. Cuman sesuaikan donk sama kurikulum yang baru saja diterapkan. Massa yang kurikulum merdeka ini gak ada khusus murid di pilihan daftar materi. Untuk SMA kelas 10 gak berpatok sama Kurikulum 2013 lagi, jadi kami bingung mau belajar bagaimana karena materi di kurikulum merdeka di beberapa mapel itu urutannya berbeda-beda dan kadang kebalik-balik. Jadi tolong kepada quipper sebisa mungkin nyiapkan menu khusus SMA kurikulum merdeka dari kelas 10"
"Yeni syafitri","2022-11-15T15:25:12.314Z",5,"6.4.1","sangat memuaskan"
"Fifi Herawaty","2022-11-14T16:00:38.549Z",5,"6.4.1","Aplikasi Ini Sangat Membantuku Jika Aku Lagi Kesulitan Untuk Menyelesaikan Tugas, Selalu Ada Penjelasan Yang Mudah Di Ingat"
"Puji Sitompul","2022-11-14T13:17:12.666Z",5,"6.3.2","Bagus bgt"
"Ahdan","2022-11-11T12:05:32.272Z",5,"6.4.1","keren"
"Arif Saputra","2022-11-09T15:55:04.514Z",5,"6.4.1","aplikasi ini membantu saya belajar di luar rumah atau pun sekolah,apa lagi saya malas buka buku, ya klu saya kemana-mana buka hp terus buka quipper. terimakasih kak Ami"
"angga","2022-11-09T10:36:07.230Z",5,"6.4.1","bagus"
"Himas Kaka pamungkas","2022-11-08T00:13:56.504Z",3,"6.4.1","Tolong dibaikin bug untuk layar pop upnya sekali keluar langsung dibikin ngelag"
"Nabila Silviana","2022-11-05T16:34:51.375Z",1,null,"basi ngentona kuota"
"Al Banyu Prayoga","2022-11-05T11:15:17.446Z",5,"6.4.1","bagus sangad👍😎"
"FAJRIANI FAJRIANI","2022-11-05T08:43:39.256Z",5,"6.4.1","sangat baik"
"Aldo rafaelll","2022-11-05T01:30:49.284Z",5,"6.3.2","bermanfaat"
"Arizka Ananda","2022-11-05T01:03:03.429Z",5,"6.4.1","Belajar di Quipper tu enak banget lohhh mudah di mengerti dan semua materi yang di pelajari di kelas tu masuk semua bahkan lebih banyak lagi yang dapat di pahami🤭karena Quipper aku yang biasanya planga plongo di kelas sekarang jadi siswa yang aktif di kelas😁😁 Makasih Quipper pokoknya bintang 10000000 untuk Quipper ❤️❤️❤️"
"Anggun Salma","2022-11-04T22:42:03.391Z",5,"6.3.2","bagus banget👍👍👍👍👍👍"
"AKHFA Zulifia","2022-11-04T10:53:19.298Z",5,"6.4.1","sangat bagus"
"Nabyella Putri Arinie","2022-11-03T14:05:56.965Z",5,"6.4.1","sebelum kasih kritsar, aku mau jelasin dulu aku skrg kelas 9. Menurut aku, quipper ini udah cukup bagus. Video-videonya juga nyaman diliat, dan sejauh ini aku plg suka guru b. inggrisnya. bener-bener keren bgt dalam ngejelasin materinya, sukaaaaak. untuk aplikasinya, menurut aku agak membingungkan di bagian menu. di bagian mau latsol jg bingung, aku kalau gakepencet gaakan tau ada latihan soal disitu. intinya materi udah bagus, tinggal applikasinya yg dikembangin <3"
"Malifal Fajri","2022-11-03T11:52:53.521Z",1,"6.3.2","Banyak bug nya"
"Marina Marina","2022-11-01T07:17:31.227Z",1,"6.3.2","Cukup sya dengan teman² sya aja yg nyesel pake ini"
"Gani Firmansyah","2022-11-01T03:56:49.840Z",1,null,"aplikasi yg sgt jelek cacat yg pernah saya temui, udah jelek suruh bayar pula , chuaakssssss asu!"
"paja ngentot","2022-11-01T03:54:29.980Z",1,null,"sangat amat wagu aplikasinya, gk bisa menghasilkan uang, gk bisa bikin senang, katanya aplikasi untuk belajar kok malah disuruh bayar, mending buat beli cawet🥶🥶😱😱🤨🤨🧐🧐"
"Hasriana Nursyam","2022-11-01T03:09:22.831Z",5,"6.4.1","good"
"Ihromi Akbar","2022-10-31T05:19:11.772Z",2,null,"Percuma sekolah tatap muka ujung ujungnya di kelas pake nih apk"
